character,ARCHER,DEGRA,HOSHI,MALIK,PHLOX,REED,SHRAN,SOONG,SOVAL,TRAVIS,TUCKER,T_POL,total_lines,ep,season,title
REED,23,0,2,0,0,4,0,0,0,12,1,9,41,91,4,Bound
SHRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,91,4,Bound
SOONG,0,0,0,0,0,0,0,0,0,0,0,0,0,91,4,Bound
SOVAL,0,0,0,0,0,0,0,0,0,0,0,0,0,91,4,Bound
TRAVIS,7,0,1,0,0,12,0,0,0,2,0,0,13,91,4,Bound
TUCKER,6,0,0,0,9,1,0,0,0,0,8,65,70,91,4,Bound
T_POL,53,0,0,0,0,9,0,0,0,0,65,0,71,91,4,Bound
ARCHER,4,0,30,0,7,19,0,0,0,2,23,40,98,92,4,"In A_Mirror, Darkly (part 1)"
DEGRA,0,0,0,0,0,0,0,0,0,0,0,0,0,92,4,"In A_Mirror, Darkly (part 1)"
HOSHI,30,0,2,0,3,0,0,0,0,0,1,0,32,92,4,"In A_Mirror, Darkly (part 1)"
MALIK,0,0,0,0,0,0,0,0,0,0,0,0,0,92,4,"In A_Mirror, Darkly (part 1)"
PHLOX,7,0,3,0,4,2,0,0,0,0,0,0,15,92,4,"In A_Mirror, Darkly (part 1)"
REED,19,0,0,0,2,0,0,0,0,0,3,10,21,92,4,"In A_Mirror, Darkly (part 1)"
SHRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,92,4,"In A_Mirror, Darkly (part 1)"
SOONG,0,0,0,0,0,0,0,0,0,0,0,0,0,92,4,"In A_Mirror, Darkly (part 1)"
SOVAL,0,0,0,0,0,0,0,0,0,0,0,0,0,92,4,"In A_Mirror, Darkly (part 1)"
TRAVIS,2,0,0,0,0,0,0,0,0,0,0,0,2,92,4,"In A_Mirror, Darkly (part 1)"
TUCKER,23,0,1,0,0,3,0,0,0,0,6,24,32,92,4,"In A_Mirror, Darkly (part 1)"
T_POL,40,0,0,0,0,10,0,0,0,0,24,6,53,92,4,"In A_Mirror, Darkly (part 1)"
ARCHER,10,0,47,0,3,17,0,0,0,8,10,37,95,93,4,"In A_Mirror, Darkly (part 2)"
DEGRA,0,0,0,0,0,0,0,0,0,0,0,0,0,93,4,"In A_Mirror, Darkly (part 2)"
HOSHI,47,0,6,0,0,0,0,0,0,4,0,5,36,93,4,"In A_Mirror, Darkly (part 2)"
MALIK,0,0,0,0,0,0,0,0,0,0,0,0,0,93,4,"In A_Mirror, Darkly (part 2)"
PHLOX,3,0,0,0,0,1,0,0,10,0,2,9,19,93,4,"In A_Mirror, Darkly (part 2)"
REED,17,0,0,0,1,10,0,0,0,0,4,5,20,93,4,"In A_Mirror, Darkly (part 2)"
SHRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,93,4,"In A_Mirror, Darkly (part 2)"
SOONG,0,0,0,0,0,0,0,0,0,0,0,0,0,93,4,"In A_Mirror, Darkly (part 2)"
SOVAL,0,0,0,0,10,0,0,0,2,0,0,18,29,93,4,"In A_Mirror, Darkly (part 2)"
TRAVIS,8,0,4,0,0,0,0,0,0,0,4,0,11,93,4,"In A_Mirror, Darkly (part 2)"
TUCKER,10,0,0,0,2,4,0,0,0,4,0,4,16,93,4,"In A_Mirror, Darkly (part 2)"
T_POL,37,0,5,0,9,5,0,0,18,0,4,2,46,93,4,"In A_Mirror, Darkly (part 2)"
ARCHER,0,0,2,0,6,4,0,0,0,2,3,3,41,94,4,Demons
DEGRA,0,0,0,0,0,0,0,0,0,0,0,0,0,94,4,Demons
HOSHI,2,0,2,0,0,6,0,0,0,1,1,0,8,94,4,Demons
MALIK,0,0,0,0,0,0,0,0,0,0,0,0,0,94,4,Demons
PHLOX,6,0,0,0,2,8,0,0,0,1,17,1,19,94,4,Demons
REED,4,0,6,0,8,0,0,0,0,2,1,3,29,94,4,Demons
SHRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,94,4,Demons
SOONG,0,0,0,0,0,0,0,0,0,0,0,0,0,94,4,Demons
SOVAL,0,0,0,0,0,0,0,0,0,0,0,0,0,94,4,Demons
TRAVIS,2,0,1,0,1,2,0,0,0,0,0,0,41,94,4,Demons
TUCKER,3,0,1,0,17,1,0,0,0,0,4,50,55,94,4,Demons
T_POL,3,0,0,0,1,3,0,0,0,0,50,0,33,94,4,Demons
ARCHER,2,0,8,0,3,11,0,0,0,9,6,0,46,95,4,Terra Prime
DEGRA,0,0,0,0,0,0,0,0,0,0,0,0,0,95,4,Terra Prime
HOSHI,8,0,0,0,0,1,0,0,0,0,0,0,21,95,4,Terra Prime
MALIK,0,0,0,0,0,0,0,0,0,0,0,0,0,95,4,Terra Prime
PHLOX,3,0,0,0,0,4,0,0,0,0,3,1,7,95,4,Terra Prime
REED,11,0,1,0,4,0,0,0,0,16,2,0,32,95,4,Terra Prime
SHRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,95,4,Terra Prime
SOONG,0,0,0,0,0,0,0,0,0,0,0,0,0,95,4,Terra Prime
SOVAL,0,0,0,0,0,0,0,0,0,0,0,0,3,95,4,Terra Prime
TRAVIS,9,0,0,0,0,16,0,0,0,4,0,1,35,95,4,Terra Prime
TUCKER,6,0,0,0,3,2,0,0,0,0,0,7,30,95,4,Terra Prime
T_POL,0,0,0,0,1,0,0,0,0,1,7,2,23,95,4,Terra Prime
ARCHER,4,0,3,0,7,3,21,0,0,5,37,36,67,96,4,These Are The Voyages...
DEGRA,0,0,0,0,0,0,0,0,0,0,0,0,0,96,4,These Are The Voyages...
HOSHI,3,0,0,0,0,5,0,0,0,5,0,1,8,96,4,These Are The Voyages...
MALIK,0,0,0,0,0,0,0,0,0,0,0,0,0,96,4,These Are The Voyages...
PHLOX,7,0,0,0,4,0,0,0,0,0,2,0,12,96,4,These Are The Voyages...
REED,3,0,5,0,0,0,0,0,0,5,8,2,17,96,4,These Are The Voyages...
SHRAN,21,0,0,0,0,0,4,0,0,0,0,3,22,96,4,These Are The Voyages...
SOONG,0,0,0,0,0,0,0,0,0,0,0,0,0,96,4,These Are The Voyages...
SOVAL,0,0,0,0,0,0,0,0,0,0,0,0,0,96,4,These Are The Voyages...
TRAVIS,5,0,5,0,0,5,0,0,0,0,0,2,15,96,4,These Are The Voyages...
TUCKER,37,0,0,0,2,8,0,0,0,0,8,20,60,96,4,These Are The Voyages...
T_POL,36,0,1,0,0,2,3,0,0,2,20,0,51,96,4,These Are The Voyages...
ARCHER,716,154,799,23,1006,1279,273,109,122,567,1803,3079,8096,all,-1,-1
DEGRA,154,8,10,0,7,3,0,0,0,0,17,5,261,all,-1,-1
HOSHI,799,10,58,0,271,276,4,0,2,163,347,352,1500,all,-1,-1
MALIK,23,0,0,18,0,2,0,117,0,0,1,0,142,all,-1,-1
PHLOX,1006,7,271,0,204,170,11,15,13,73,460,694,1944,all,-1,-1
REED,1279,3,276,2,170,166,10,5,0,341,979,491,2508,all,-1,-1
SHRAN,273,0,4,0,11,10,32,0,58,1,42,39,381,all,-1,-1
SOONG,109,0,0,117,15,5,0,24,0,0,13,9,211,all,-1,-1
SOVAL,122,0,2,0,13,0,58,0,14,1,67,60,234,all,-1,-1
TRAVIS,567,0,163,0,73,341,1,0,1,30,367,219,1274,all,-1,-1
TUCKER,1803,17,347,1,460,979,42,13,67,367,426,1427,4297,all,-1,-1
T_POL,3079,5,352,0,694,491,39,9,60,219,1427,166,4203,all,-1,-1
