,BARCLAY,CHAKOTAY,COMPUTER,EMH,JANEWAY,KES,KIM,NEELIX,PARIS,SEVEN,TORRES,TUVOK,lines,ep,season,title
COMPUTER,0,0,0,0,0,0,4,0,0,0,0,0,2,127,6,Collective
EMH,0,0,0,2,11,0,0,0,0,0,0,5,9,127,6,Collective
JANEWAY,0,0,0,11,2,0,5,0,0,31,19,28,66,127,6,Collective
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,127,6,Collective
KIM,0,0,4,0,5,0,0,0,0,0,1,8,18,127,6,Collective
NEELIX,0,10,0,0,0,0,0,0,1,0,0,0,6,127,6,Collective
PARIS,0,14,0,0,0,0,0,1,0,2,0,0,10,127,6,Collective
SEVEN,0,4,0,0,31,0,0,0,2,6,1,3,74,127,6,Collective
TORRES,0,0,0,0,19,0,1,0,0,1,0,10,17,127,6,Collective
TUVOK,0,0,0,5,28,0,8,0,0,3,10,0,32,127,6,Collective
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,128,6,Spirit Folk
CHAKOTAY,0,0,0,0,12,0,1,1,1,1,0,0,10,128,6,Spirit Folk
COMPUTER,0,0,0,0,0,0,0,0,3,0,0,0,3,128,6,Spirit Folk
EMH,0,0,0,0,4,0,0,0,0,1,0,0,20,128,6,Spirit Folk
JANEWAY,0,12,0,4,2,0,4,0,5,2,10,8,65,128,6,Spirit Folk
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,128,6,Spirit Folk
KIM,0,1,0,0,4,0,0,0,30,0,1,0,34,128,6,Spirit Folk
NEELIX,0,1,0,0,0,0,0,0,0,1,4,0,3,128,6,Spirit Folk
PARIS,0,1,3,0,5,0,30,0,0,0,10,0,40,128,6,Spirit Folk
SEVEN,0,1,0,1,2,0,0,1,0,0,0,1,3,128,6,Spirit Folk
TORRES,0,0,0,0,10,0,1,4,10,0,0,1,14,128,6,Spirit Folk
TUVOK,0,0,0,0,8,0,0,0,0,1,1,0,8,128,6,Spirit Folk
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,129,6,Ashes to Ashes
CHAKOTAY,0,0,0,0,5,0,3,0,0,18,1,0,16,129,6,Ashes to Ashes
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,129,6,Ashes to Ashes
EMH,0,0,0,0,2,0,3,0,0,0,0,1,13,129,6,Ashes to Ashes
JANEWAY,0,5,0,2,2,0,8,1,0,0,0,6,38,129,6,Ashes to Ashes
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,129,6,Ashes to Ashes
KIM,0,3,0,3,8,0,2,0,6,0,0,2,81,129,6,Ashes to Ashes
NEELIX,0,0,0,0,1,0,0,0,0,3,2,0,8,129,6,Ashes to Ashes
PARIS,0,0,0,0,0,0,6,0,0,0,0,0,4,129,6,Ashes to Ashes
SEVEN,0,18,0,0,0,0,0,3,0,0,0,7,31,129,6,Ashes to Ashes
TORRES,0,1,0,0,0,0,0,2,0,0,0,0,9,129,6,Ashes to Ashes
TUVOK,0,0,0,1,6,0,2,0,0,7,0,0,15,129,6,Ashes to Ashes
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,130,6,Child's Play
CHAKOTAY,0,0,0,0,1,0,1,0,0,2,0,0,2,130,6,Child's Play
COMPUTER,0,0,0,0,0,0,0,0,0,2,0,0,2,130,6,Child's Play
EMH,0,0,0,0,3,0,0,0,0,6,0,0,12,130,6,Child's Play
JANEWAY,0,1,0,3,6,0,0,0,7,81,0,10,67,130,6,Child's Play
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,130,6,Child's Play
KIM,0,1,0,0,0,0,0,0,1,0,0,1,2,130,6,Child's Play
NEELIX,0,0,0,0,0,0,0,0,0,0,0,0,1,130,6,Child's Play
PARIS,0,0,0,0,7,0,1,0,0,1,0,1,5,130,6,Child's Play
SEVEN,0,2,2,6,81,0,0,0,1,6,0,10,122,130,6,Child's Play
TORRES,0,0,0,0,0,0,0,0,0,0,0,0,0,130,6,Child's Play
TUVOK,0,0,0,0,10,0,1,0,1,10,0,0,12,130,6,Child's Play
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,131,6,Good Shepherd
CHAKOTAY,0,0,0,0,16,0,1,0,0,0,0,0,9,131,6,Good Shepherd
COMPUTER,0,0,0,0,2,0,0,0,0,0,0,0,1,131,6,Good Shepherd
EMH,0,0,0,0,2,0,0,0,0,6,0,0,10,131,6,Good Shepherd
JANEWAY,0,16,2,2,8,0,0,0,0,7,2,0,126,131,6,Good Shepherd
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,131,6,Good Shepherd
KIM,0,1,0,0,0,0,0,0,0,6,0,0,4,131,6,Good Shepherd
NEELIX,0,0,0,0,0,0,0,0,1,0,1,0,1,131,6,Good Shepherd
PARIS,0,0,0,0,0,0,0,1,2,0,5,0,8,131,6,Good Shepherd
SEVEN,0,0,0,6,7,0,6,0,0,0,4,2,14,131,6,Good Shepherd
TORRES,0,0,0,0,2,0,0,1,5,4,0,0,7,131,6,Good Shepherd
TUVOK,0,0,0,0,0,0,0,0,0,2,0,0,1,131,6,Good Shepherd
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,132,6,Live Fast And Prosper
CHAKOTAY,0,2,0,0,8,0,0,0,0,0,1,1,7,132,6,Live Fast And Prosper
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,132,6,Live Fast And Prosper
EMH,0,0,0,0,0,0,0,12,7,0,0,0,12,132,6,Live Fast And Prosper
JANEWAY,0,8,0,0,6,0,5,25,4,7,10,20,69,132,6,Live Fast And Prosper
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,132,6,Live Fast And Prosper
KIM,0,0,0,0,5,0,0,0,3,0,1,3,9,132,6,Live Fast And Prosper
NEELIX,0,0,0,12,25,0,0,2,25,0,3,0,72,132,6,Live Fast And Prosper
PARIS,0,0,0,7,4,0,3,25,0,0,0,8,29,132,6,Live Fast And Prosper
SEVEN,0,0,0,0,7,0,0,0,0,0,0,0,4,132,6,Live Fast And Prosper
TORRES,0,1,0,0,10,0,1,3,0,0,0,0,8,132,6,Live Fast And Prosper
TUVOK,0,1,0,0,20,0,3,0,8,0,0,2,21,132,6,Live Fast And Prosper
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,133,6,Muse
CHAKOTAY,0,0,0,0,8,0,0,0,0,1,4,4,9,133,6,Muse
COMPUTER,0,0,0,0,0,0,3,0,0,0,5,0,4,133,6,Muse
EMH,0,0,0,0,0,0,0,0,2,0,0,0,1,133,6,Muse
JANEWAY,0,8,0,0,2,0,0,0,3,0,0,0,8,133,6,Muse
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,133,6,Muse
KIM,0,0,3,0,0,0,0,0,1,0,24,0,15,133,6,Muse
NEELIX,0,0,0,0,0,0,0,0,0,0,0,8,5,133,6,Muse
PARIS,0,0,0,2,3,0,1,0,0,1,2,4,7,133,6,Muse
SEVEN,0,1,0,0,0,0,0,0,1,0,0,0,1,133,6,Muse
TORRES,0,4,5,0,0,0,24,0,2,0,18,1,104,133,6,Muse
TUVOK,0,4,0,0,0,0,0,8,4,0,1,0,9,133,6,Muse
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,134,6,Fury
CHAKOTAY,0,2,0,0,39,0,11,0,11,0,4,4,40,134,6,Fury
COMPUTER,0,0,2,0,0,6,0,0,0,0,0,0,5,134,6,Fury
EMH,0,0,0,2,34,11,0,0,0,0,0,0,30,134,6,Fury
JANEWAY,0,39,0,34,10,29,19,1,17,1,1,40,111,134,6,Fury
KES,0,0,6,11,29,2,0,15,12,1,5,4,50,134,6,Fury
KIM,0,11,0,0,19,0,2,0,4,0,2,7,24,134,6,Fury
NEELIX,0,0,0,0,1,15,0,0,1,0,0,0,9,134,6,Fury
PARIS,0,11,0,0,17,12,4,1,2,1,2,3,28,134,6,Fury
SEVEN,0,0,0,0,1,1,0,0,1,0,2,1,4,134,6,Fury
TORRES,0,4,0,0,1,5,2,0,2,2,6,0,15,134,6,Fury
TUVOK,0,4,0,0,40,4,7,0,3,1,0,0,34,134,6,Fury
BARCLAY,2,0,1,30,0,0,0,0,0,0,0,0,44,135,6,Life Line
CHAKOTAY,0,2,0,0,14,0,2,0,0,0,1,0,10,135,6,Life Line
COMPUTER,1,0,0,0,0,0,0,0,0,0,0,0,1,135,6,Life Line
EMH,30,0,0,4,29,0,1,10,0,21,0,0,125,135,6,Life Line
JANEWAY,0,14,0,29,2,0,1,0,1,2,1,0,29,135,6,Life Line
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,135,6,Life Line
KIM,0,2,0,1,1,0,0,0,1,0,0,0,3,135,6,Life Line
NEELIX,0,0,0,10,0,0,0,0,0,0,0,0,6,135,6,Life Line
PARIS,0,0,0,0,1,0,1,0,0,0,0,0,1,135,6,Life Line
SEVEN,0,0,0,21,2,0,0,0,0,0,0,0,14,135,6,Life Line
TORRES,0,1,0,0,1,0,0,0,0,0,0,0,1,135,6,Life Line
TUVOK,0,0,0,0,0,0,0,0,0,0,0,0,0,135,6,Life Line
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,136,6,The Haunting of Deck Twelve
CHAKOTAY,0,2,3,0,27,0,4,2,2,1,17,2,36,136,6,The Haunting of Deck Twelve
COMPUTER,0,3,4,0,55,0,2,3,0,1,0,1,37,136,6,The Haunting of Deck Twelve
EMH,0,0,0,0,2,0,0,0,0,2,1,0,4,136,6,The Haunting of Deck Twelve
JANEWAY,0,27,55,2,8,0,9,9,16,10,13,10,87,136,6,The Haunting of Deck Twelve
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,136,6,The Haunting of Deck Twelve
KIM,0,4,2,0,9,0,0,5,2,0,0,1,25,136,6,The Haunting of Deck Twelve
NEELIX,0,2,3,0,9,0,5,18,3,1,1,43,103,136,6,The Haunting of Deck Twelve
PARIS,0,2,0,0,16,0,2,3,2,0,0,6,16,136,6,The Haunting of Deck Twelve
SEVEN,0,1,1,2,10,0,0,1,0,0,2,0,15,136,6,The Haunting of Deck Twelve
TORRES,0,17,0,1,13,0,0,1,0,2,0,0,18,136,6,The Haunting of Deck Twelve
TUVOK,0,2,1,0,10,0,1,43,6,0,0,0,33,136,6,The Haunting of Deck Twelve
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,137,6,Unimatrix Zero (parts 1 & 2)
CHAKOTAY,0,0,0,11,34,0,16,1,35,7,0,1,68,137,6,Unimatrix Zero (parts 1 & 2)
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,137,6,Unimatrix Zero (parts 1 & 2)
EMH,0,11,0,2,4,0,5,0,2,26,1,8,36,137,6,Unimatrix Zero (parts 1 & 2)
JANEWAY,0,34,0,4,8,0,4,0,4,24,17,26,76,137,6,Unimatrix Zero (parts 1 & 2)
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,137,6,Unimatrix Zero (parts 1 & 2)
KIM,0,16,0,5,4,0,2,3,7,2,1,1,23,137,6,Unimatrix Zero (parts 1 & 2)
NEELIX,0,1,0,0,0,0,3,0,3,0,0,0,4,137,6,Unimatrix Zero (parts 1 & 2)
PARIS,0,35,0,2,4,0,7,3,0,3,11,2,41,137,6,Unimatrix Zero (parts 1 & 2)
SEVEN,0,7,0,26,24,0,2,0,3,4,5,0,93,137,6,Unimatrix Zero (parts 1 & 2)
TORRES,0,0,0,1,17,0,1,0,11,5,6,8,28,137,6,Unimatrix Zero (parts 1 & 2)
TUVOK,0,1,0,8,26,0,1,0,2,0,8,4,31,137,6,Unimatrix Zero (parts 1 & 2)
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,138,7,Imperfection
CHAKOTAY,0,0,0,0,3,0,1,0,1,0,0,1,3,138,7,Imperfection
COMPUTER,0,0,0,0,0,0,0,0,0,9,0,0,7,138,7,Imperfection
EMH,0,0,0,0,46,0,0,9,4,57,4,0,92,138,7,Imperfection
JANEWAY,0,3,0,46,4,0,2,0,11,41,0,6,83,138,7,Imperfection
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,138,7,Imperfection
KIM,0,1,0,0,2,0,0,0,1,0,0,0,2,138,7,Imperfection
NEELIX,0,0,0,9,0,0,0,2,0,34,0,0,24,138,7,Imperfection
PARIS,0,1,0,4,11,0,1,0,2,0,0,4,13,138,7,Imperfection
SEVEN,0,0,9,57,41,0,0,34,0,8,15,0,117,138,7,Imperfection
TORRES,0,0,0,4,0,0,0,0,0,15,0,0,10,138,7,Imperfection
TUVOK,0,1,0,0,6,0,0,0,4,0,0,0,6,138,7,Imperfection
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,139,7,Drive
CHAKOTAY,0,0,0,0,1,0,1,1,1,0,0,3,4,139,7,Drive
COMPUTER,0,0,0,0,0,0,0,0,2,0,8,0,6,139,7,Drive
EMH,0,0,0,4,1,0,0,0,13,0,12,0,17,139,7,Drive
JANEWAY,0,1,0,1,0,0,0,1,6,1,1,11,23,139,7,Drive
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,139,7,Drive
KIM,0,1,0,0,0,0,8,0,24,0,5,0,46,139,7,Drive
NEELIX,0,1,0,0,1,0,0,0,0,7,26,1,21,139,7,Drive
PARIS,0,1,2,13,6,0,24,0,2,0,156,3,125,139,7,Drive
SEVEN,0,0,0,0,1,0,0,7,0,0,11,1,11,139,7,Drive
TORRES,0,0,8,12,1,0,5,26,156,11,6,0,119,139,7,Drive
TUVOK,0,3,0,0,11,0,0,1,3,1,0,0,13,139,7,Drive
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,140,7,Repression
CHAKOTAY,0,10,3,5,37,0,1,1,3,2,10,32,64,140,7,Repression
COMPUTER,0,3,0,1,2,0,0,0,0,0,0,13,11,140,7,Repression
EMH,0,5,1,0,2,0,1,0,2,0,0,10,15,140,7,Repression
JANEWAY,0,37,2,2,6,0,0,0,3,1,1,85,79,140,7,Repression
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,140,7,Repression
KIM,0,1,0,1,0,0,2,0,3,0,0,32,20,140,7,Repression
NEELIX,0,1,0,0,0,0,0,0,0,0,0,0,1,140,7,Repression
PARIS,0,3,0,2,3,0,3,0,4,0,22,3,22,140,7,Repression
SEVEN,0,2,0,0,1,0,0,0,0,0,0,0,2,140,7,Repression
TORRES,0,10,0,0,1,0,0,0,22,0,0,5,33,140,7,Repression
TUVOK,0,32,13,10,85,0,32,0,3,0,5,4,123,140,7,Repression
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,141,7,Critical Care
CHAKOTAY,0,0,0,2,4,0,2,1,0,0,1,5,8,141,7,Critical Care
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,141,7,Critical Care
EMH,0,2,0,6,0,0,2,0,3,19,1,0,146,141,7,Critical Care
JANEWAY,0,4,0,0,0,0,6,10,5,0,8,9,26,141,7,Critical Care
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,141,7,Critical Care
KIM,0,2,0,2,6,0,0,0,4,0,0,1,9,141,7,Critical Care
NEELIX,0,1,0,0,10,0,0,0,0,0,0,13,16,141,7,Critical Care
PARIS,0,0,0,3,5,0,4,0,0,0,1,3,9,141,7,Critical Care
SEVEN,0,0,0,19,0,0,0,0,0,0,0,0,10,141,7,Critical Care
TORRES,0,1,0,1,8,0,0,0,1,0,0,0,7,141,7,Critical Care
TUVOK,0,5,0,0,9,0,1,13,3,0,0,0,20,141,7,Critical Care
BARCLAY,4,0,3,0,0,0,0,0,0,0,0,0,77,142,7,Inside Man
CHAKOTAY,0,0,0,1,3,0,2,0,0,0,0,1,6,142,7,Inside Man
COMPUTER,3,0,0,0,1,0,0,0,0,0,1,0,4,142,7,Inside Man
EMH,0,1,0,0,11,0,0,0,0,0,2,1,26,142,7,Inside Man
JANEWAY,0,3,1,11,2,0,7,3,1,3,0,1,29,142,7,Inside Man
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,142,7,Inside Man
KIM,0,2,0,0,7,0,0,0,23,8,7,1,31,142,7,Inside Man
NEELIX,0,0,0,0,3,0,0,0,0,0,0,0,3,142,7,Inside Man
PARIS,0,0,0,0,1,0,23,0,0,0,0,0,14,142,7,Inside Man
SEVEN,0,0,0,0,3,0,8,0,0,0,0,0,19,142,7,Inside Man
TORRES,0,0,1,2,0,0,7,0,0,0,0,0,9,142,7,Inside Man
TUVOK,0,1,0,1,1,0,1,0,0,0,0,0,2,142,7,Inside Man
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,143,7,Body and Soul
CHAKOTAY,0,0,0,0,7,0,0,0,2,0,0,0,5,143,7,Body and Soul
COMPUTER,0,0,0,0,0,0,1,0,0,1,0,0,1,143,7,Body and Soul
EMH,0,0,0,4,0,0,12,0,0,50,0,0,48,143,7,Body and Soul
JANEWAY,0,7,0,0,2,0,0,1,3,0,0,13,21,143,7,Body and Soul
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,143,7,Body and Soul
KIM,0,0,1,12,0,0,0,0,0,14,0,0,45,143,7,Body and Soul
NEELIX,0,0,0,0,1,0,0,0,0,0,0,3,2,143,7,Body and Soul
PARIS,0,2,0,0,3,0,0,0,0,0,0,31,21,143,7,Body and Soul
SEVEN,0,0,1,50,0,0,14,0,0,0,0,0,38,143,7,Body and Soul
TORRES,0,0,0,0,0,0,0,0,0,0,0,0,0,143,7,Body and Soul
TUVOK,0,0,0,0,13,0,0,3,31,0,0,0,28,143,7,Body and Soul
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,144,7,Nightingale
CHAKOTAY,0,0,0,0,3,0,0,0,2,0,0,0,4,144,7,Nightingale
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,144,7,Nightingale
EMH,0,0,0,2,0,0,0,0,0,0,0,0,10,144,7,Nightingale
JANEWAY,0,3,0,0,2,0,39,0,1,0,9,5,39,144,7,Nightingale
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,144,7,Nightingale
KIM,0,0,0,0,39,0,10,24,11,68,0,0,167,144,7,Nightingale
NEELIX,0,0,0,0,0,0,24,0,0,5,0,0,17,144,7,Nightingale
PARIS,0,2,0,0,1,0,11,0,0,0,0,0,15,144,7,Nightingale
SEVEN,0,0,0,0,0,0,68,5,0,2,0,0,45,144,7,Nightingale
TORRES,0,0,0,0,9,0,0,0,0,0,4,0,29,144,7,Nightingale
TUVOK,0,0,0,0,5,0,0,0,0,0,0,0,4,144,7,Nightingale
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,145,7,Flesh and Blood (parts 1 & 2)
CHAKOTAY,0,2,0,20,53,0,3,0,11,8,3,11,67,145,7,Flesh and Blood (parts 1 & 2)
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,1,145,7,Flesh and Blood (parts 1 & 2)
EMH,0,20,0,14,38,0,0,0,2,1,40,3,174,145,7,Flesh and Blood (parts 1 & 2)
JANEWAY,0,53,0,38,8,0,25,3,20,5,17,27,147,145,7,Flesh and Blood (parts 1 & 2)
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,145,7,Flesh and Blood (parts 1 & 2)
KIM,0,3,0,0,25,0,0,0,2,0,0,3,19,145,7,Flesh and Blood (parts 1 & 2)
NEELIX,0,0,0,0,3,0,0,0,1,0,0,0,4,145,7,Flesh and Blood (parts 1 & 2)
PARIS,0,11,0,2,20,0,2,1,2,0,1,6,28,145,7,Flesh and Blood (parts 1 & 2)
SEVEN,0,8,0,1,5,0,0,0,0,0,7,5,18,145,7,Flesh and Blood (parts 1 & 2)
TORRES,0,3,0,40,17,0,0,0,1,7,0,1,86,145,7,Flesh and Blood (parts 1 & 2)
TUVOK,0,11,0,3,27,0,3,0,6,5,1,0,36,145,7,Flesh and Blood (parts 1 & 2)
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,146,7,Shattered
CHAKOTAY,0,2,1,35,172,0,2,2,4,6,9,1,151,146,7,Shattered
COMPUTER,0,1,0,0,1,0,0,0,0,0,0,0,3,146,7,Shattered
EMH,0,35,0,0,7,0,0,0,0,0,0,0,23,146,7,Shattered
JANEWAY,0,172,1,7,10,0,11,4,1,8,2,4,137,146,7,Shattered
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,146,7,Shattered
KIM,0,2,0,0,11,0,0,0,0,0,0,0,11,146,7,Shattered
NEELIX,0,2,0,0,4,0,0,0,0,0,0,0,3,146,7,Shattered
PARIS,0,4,0,0,1,0,0,0,0,0,0,0,4,146,7,Shattered
SEVEN,0,6,0,0,8,0,0,0,0,0,0,0,8,146,7,Shattered
TORRES,0,9,0,0,2,0,0,0,0,0,2,0,8,146,7,Shattered
TUVOK,0,1,0,0,4,0,0,0,0,0,0,0,3,146,7,Shattered
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,147,7,Lineage
CHAKOTAY,0,0,0,0,0,0,0,0,1,0,13,0,8,147,7,Lineage
COMPUTER,0,0,0,0,0,0,0,0,2,0,2,2,4,147,7,Lineage
EMH,0,0,0,2,0,0,0,0,36,4,85,1,71,147,7,Lineage
JANEWAY,0,0,0,0,0,0,0,0,2,0,18,0,11,147,7,Lineage
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,147,7,Lineage
KIM,0,0,0,0,0,0,0,0,25,0,1,3,17,147,7,Lineage
NEELIX,0,0,0,0,0,0,0,0,8,0,0,0,5,147,7,Lineage
PARIS,0,1,2,36,2,0,25,8,2,13,135,19,134,147,7,Lineage
SEVEN,0,0,0,4,0,0,0,0,13,0,4,0,15,147,7,Lineage
TORRES,0,13,2,85,18,0,1,0,135,4,10,1,144,147,7,Lineage
TUVOK,0,0,2,1,0,0,3,0,19,0,1,0,15,147,7,Lineage
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,148,7,Repentance
CHAKOTAY,0,0,0,0,5,0,2,0,1,0,0,0,5,148,7,Repentance
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,148,7,Repentance
EMH,0,0,0,4,6,0,0,0,0,37,0,0,45,148,7,Repentance
JANEWAY,0,5,0,6,2,0,4,0,1,24,0,6,41,148,7,Repentance
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,148,7,Repentance
KIM,0,2,0,0,4,0,0,0,0,0,0,1,4,148,7,Repentance
NEELIX,0,0,0,0,0,0,0,0,12,0,6,2,42,148,7,Repentance
PARIS,0,1,0,0,1,0,0,12,0,0,0,0,7,148,7,Repentance
SEVEN,0,0,0,37,24,0,0,0,0,0,0,0,68,148,7,Repentance
TORRES,0,0,0,0,0,0,0,6,0,0,0,0,3,148,7,Repentance
TUVOK,0,0,0,0,6,0,1,2,0,0,0,0,14,148,7,Repentance
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,149,7,Prophecy
CHAKOTAY,0,0,0,0,1,0,2,0,0,0,1,2,5,149,7,Prophecy
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,4,2,149,7,Prophecy
EMH,0,0,0,0,7,0,12,3,0,0,5,0,27,149,7,Prophecy
JANEWAY,0,1,0,7,4,0,4,7,7,0,8,12,46,149,7,Prophecy
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,149,7,Prophecy
KIM,0,2,0,12,4,0,4,22,1,0,1,1,29,149,7,Prophecy
NEELIX,0,0,0,3,7,0,22,0,0,0,2,13,29,149,7,Prophecy
PARIS,0,0,0,0,7,0,1,0,2,0,32,1,34,149,7,Prophecy
SEVEN,0,0,0,0,0,0,0,0,0,0,0,0,3,149,7,Prophecy
TORRES,0,1,0,5,8,0,1,2,32,0,0,2,60,149,7,Prophecy
TUVOK,0,2,4,0,12,0,1,13,1,0,2,0,23,149,7,Prophecy
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,150,7,The Void
CHAKOTAY,0,2,0,0,41,0,1,0,3,1,4,5,31,150,7,The Void
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,150,7,The Void
EMH,0,0,0,6,19,0,0,0,0,14,0,7,28,150,7,The Void
JANEWAY,0,41,0,19,10,0,18,5,15,29,16,39,142,150,7,The Void
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,150,7,The Void
KIM,0,1,0,0,18,0,0,0,5,3,1,3,17,150,7,The Void
NEELIX,0,0,0,0,5,0,0,0,3,0,7,2,11,150,7,The Void
PARIS,0,3,0,0,15,0,5,3,0,8,3,11,26,150,7,The Void
SEVEN,0,1,0,14,29,0,3,0,8,0,9,3,39,150,7,The Void
TORRES,0,4,0,0,16,0,1,7,3,9,2,2,26,150,7,The Void
TUVOK,0,5,0,7,39,0,3,2,11,3,2,0,45,150,7,The Void
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,151,7,Workforce (parts 1 & 2)
CHAKOTAY,0,2,0,19,55,0,23,13,3,0,10,0,84,151,7,Workforce (parts 1 & 2)
COMPUTER,0,0,0,29,3,0,1,0,0,5,0,0,21,151,7,Workforce (parts 1 & 2)
EMH,0,19,29,10,10,0,46,14,0,0,1,0,75,151,7,Workforce (parts 1 & 2)
JANEWAY,0,55,3,10,8,0,1,0,2,8,0,11,110,151,7,Workforce (parts 1 & 2)
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,151,7,Workforce (parts 1 & 2)
KIM,0,23,1,46,1,0,0,18,0,0,3,0,56,151,7,Workforce (parts 1 & 2)
NEELIX,0,13,0,14,0,0,18,0,13,0,27,0,46,151,7,Workforce (parts 1 & 2)
PARIS,0,3,0,0,2,0,0,13,4,10,40,0,69,151,7,Workforce (parts 1 & 2)
SEVEN,0,0,5,0,8,0,0,0,10,4,0,5,43,151,7,Workforce (parts 1 & 2)
TORRES,0,10,0,1,0,0,3,27,40,0,4,0,49,151,7,Workforce (parts 1 & 2)
TUVOK,0,0,0,0,11,0,0,0,0,5,0,2,24,151,7,Workforce (parts 1 & 2)
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,152,7,Human Error
CHAKOTAY,0,0,0,0,2,0,0,1,6,47,0,7,37,152,7,Human Error
COMPUTER,0,0,0,1,0,0,0,0,0,2,0,0,2,152,7,Human Error
EMH,0,0,1,0,0,0,0,0,0,61,0,0,37,152,7,Human Error
JANEWAY,0,2,0,0,0,0,1,0,18,33,0,12,38,152,7,Human Error
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,152,7,Human Error
KIM,0,0,0,0,1,0,0,0,1,0,4,2,5,152,7,Human Error
NEELIX,0,1,0,0,0,0,0,0,0,18,0,0,10,152,7,Human Error
PARIS,0,6,0,0,18,0,1,0,4,3,0,7,24,152,7,Human Error
SEVEN,0,47,2,61,33,0,0,18,3,12,12,8,159,152,7,Human Error
TORRES,0,0,0,0,0,0,4,0,0,12,2,0,10,152,7,Human Error
TUVOK,0,7,0,0,12,0,2,0,7,8,0,0,19,152,7,Human Error
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,153,7,Q2
CHAKOTAY,0,0,0,0,7,0,0,0,0,0,1,1,12,153,7,Q2
COMPUTER,0,0,0,0,1,0,0,1,0,0,0,0,1,153,7,Q2
EMH,0,0,0,0,1,0,0,0,0,0,0,0,3,153,7,Q2
JANEWAY,0,7,1,1,4,0,2,10,1,0,1,5,97,153,7,Q2
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,153,7,Q2
KIM,0,0,0,0,2,0,0,0,1,0,0,1,3,153,7,Q2
NEELIX,0,0,1,0,10,0,0,0,0,0,0,0,15,153,7,Q2
PARIS,0,0,0,0,1,0,1,0,0,0,0,1,6,153,7,Q2
SEVEN,0,0,0,0,0,0,0,0,0,0,0,0,2,153,7,Q2
TORRES,0,1,0,0,1,0,0,0,0,0,0,0,3,153,7,Q2
TUVOK,0,1,0,0,5,0,1,0,1,0,0,0,8,153,7,Q2
