,ALEXANDER,BARCLAY,COMPUTER,CRUSHER,DATA,GUINAN,K'EHLEYR,LAFORGE,LWAXANA,O'BRIEN,PICARD,PULASKI,Q,RIKER,RO,TASHA,TROI,VASH,WESLEY,WORF,lines,ep,season,title
Q,0,0,0,0,1,0,0,0,0,0,76,0,8,6,0,3,4,0,0,4,59,0,1,Encounter at Farpoint (parts 1 & 2)
RIKER,0,0,3,13,32,0,0,10,0,0,61,0,6,6,0,5,15,0,11,7,116,0,1,Encounter at Farpoint (parts 1 & 2)
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Encounter at Farpoint (parts 1 & 2)
TASHA,0,0,0,0,8,0,0,2,0,1,25,0,3,5,0,2,6,0,0,5,33,0,1,Encounter at Farpoint (parts 1 & 2)
TROI,0,0,0,0,6,0,0,1,0,0,29,0,4,15,0,6,4,0,0,2,45,0,1,Encounter at Farpoint (parts 1 & 2)
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Encounter at Farpoint (parts 1 & 2)
WESLEY,0,0,0,17,0,0,0,1,0,0,7,0,0,11,0,0,0,0,2,0,20,0,1,Encounter at Farpoint (parts 1 & 2)
WORF,0,0,0,1,2,0,0,0,0,0,29,0,4,7,0,5,2,0,0,0,31,0,1,Encounter at Farpoint (parts 1 & 2)
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,The Naked Now
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,The Naked Now
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,The Naked Now
CRUSHER,0,0,0,4,2,0,0,5,0,0,34,0,0,8,0,1,1,0,4,1,41,1,1,The Naked Now
DATA,0,0,0,2,0,0,0,0,0,0,20,0,0,24,0,14,0,0,5,1,37,1,1,The Naked Now
GUINAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,The Naked Now
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,The Naked Now
LAFORGE,0,0,0,5,0,0,0,0,0,0,2,0,0,5,0,12,0,0,8,1,19,1,1,The Naked Now
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,The Naked Now
O'BRIEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,The Naked Now
PICARD,0,0,0,34,20,0,0,2,0,0,12,0,0,17,0,9,5,0,6,13,77,1,1,The Naked Now
PULASKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,The Naked Now
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,The Naked Now
RIKER,0,0,0,8,24,0,0,5,0,0,17,0,0,6,0,2,6,0,7,2,54,1,1,The Naked Now
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,The Naked Now
TASHA,0,0,0,1,14,0,0,12,0,0,9,0,0,2,0,0,6,0,0,0,25,1,1,The Naked Now
TROI,0,0,0,1,0,0,0,0,0,0,5,0,0,6,0,6,0,0,0,0,14,1,1,The Naked Now
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,The Naked Now
WESLEY,0,0,0,4,5,0,0,8,0,0,6,0,0,7,0,0,0,0,2,0,26,1,1,The Naked Now
WORF,0,0,0,1,1,0,0,1,0,0,13,0,0,2,0,0,0,0,0,0,15,1,1,The Naked Now
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Code Of Honour
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Code Of Honour
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Code Of Honour
CRUSHER,0,0,0,0,1,0,0,1,0,0,15,0,0,2,0,2,2,0,0,0,13,2,1,Code Of Honour
DATA,0,0,0,1,0,0,0,22,0,0,20,0,0,7,0,3,3,0,0,0,30,2,1,Code Of Honour
GUINAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Code Of Honour
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Code Of Honour
LAFORGE,0,0,0,1,22,0,0,0,0,0,7,0,0,6,0,1,1,0,1,0,21,2,1,Code Of Honour
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Code Of Honour
O'BRIEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Code Of Honour
PICARD,0,0,0,15,20,0,0,7,0,0,4,0,0,23,0,14,19,0,4,0,91,2,1,Code Of Honour
PULASKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Code Of Honour
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Code Of Honour
RIKER,0,0,0,2,7,0,0,6,0,0,23,0,0,0,0,2,7,0,1,0,33,2,1,Code Of Honour
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Code Of Honour
TASHA,0,0,0,2,3,0,0,1,0,0,14,0,0,2,0,2,6,0,0,0,33,2,1,Code Of Honour
TROI,0,0,0,2,3,0,0,1,0,0,19,0,0,7,0,6,0,0,0,0,22,2,1,Code Of Honour
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Code Of Honour
WESLEY,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,3,2,1,Code Of Honour
WORF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Code Of Honour
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,The Last Outpost
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,The Last Outpost
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,The Last Outpost
CRUSHER,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,3,1,The Last Outpost
DATA,0,0,0,0,2,0,0,11,0,0,36,0,0,27,0,6,2,0,0,1,47,3,1,The Last Outpost
GUINAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,The Last Outpost
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,The Last Outpost
LAFORGE,0,0,0,0,11,0,0,0,0,0,24,0,0,21,0,5,0,0,0,4,34,3,1,The Last Outpost
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,The Last Outpost
O'BRIEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,The Last Outpost
PICARD,0,0,0,8,36,0,0,24,0,0,8,0,0,27,0,26,10,0,0,8,85,3,1,The Last Outpost
PULASKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,The Last Outpost
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,The Last Outpost
RIKER,0,0,0,0,27,0,0,21,0,0,27,0,0,12,0,4,2,0,0,4,73,3,1,The Last Outpost
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,The Last Outpost
TASHA,0,0,0,0,6,0,0,5,0,0,26,0,0,4,0,2,1,0,0,5,29,3,1,The Last Outpost
TROI,0,0,0,0,2,0,0,0,0,0,10,0,0,2,0,1,0,0,0,0,8,3,1,The Last Outpost
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,The Last Outpost
WESLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,The Last Outpost
WORF,0,0,0,0,1,0,0,4,0,0,8,0,0,4,0,5,0,0,0,0,12,3,1,The Last Outpost
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Where No One Has Gone Before
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Where No One Has Gone Before
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Where No One Has Gone Before
CRUSHER,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,2,0,9,4,1,Where No One Has Gone Before
DATA,0,0,0,0,0,0,0,9,0,0,16,0,0,1,0,0,0,0,0,0,14,4,1,Where No One Has Gone Before
GUINAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Where No One Has Gone Before
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Where No One Has Gone Before
LAFORGE,0,0,0,0,9,0,0,0,0,0,14,0,0,1,0,2,0,0,0,1,18,4,1,Where No One Has Gone Before
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Where No One Has Gone Before
O'BRIEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Where No One Has Gone Before
PICARD,0,0,0,13,16,0,0,14,0,0,12,0,0,47,0,2,3,0,13,1,112,4,1,Where No One Has Gone Before
PULASKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Where No One Has Gone Before
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Where No One Has Gone Before
RIKER,0,0,0,2,1,0,0,1,0,0,47,0,0,2,0,0,5,0,5,0,58,4,1,Where No One Has Gone Before
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Where No One Has Gone Before
TASHA,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,3,6,4,1,Where No One Has Gone Before
TROI,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,1,0,0,0,1,5,4,1,Where No One Has Gone Before
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Where No One Has Gone Before
WESLEY,0,0,0,2,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,0,19,4,1,Where No One Has Gone Before
WORF,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,4,4,1,Where No One Has Gone Before
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Lonely Among Us
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Lonely Among Us
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Lonely Among Us
CRUSHER,0,0,0,0,4,0,0,4,0,0,25,0,0,2,0,0,13,0,14,4,37,5,1,Lonely Among Us
